Category	Feature	Count	Unique Value Count	Missing Value Count	Min	Max	Mean	Mean Deviation	1st Quartile	Median	3rd Quartile	Range	Sample Variance	Sample Standard Deviation	Sample Skewness	Sample Kurtosis	P0.5	P1	P5	P95	P99	P99.5
Is NOT Multivariate	Number of Web Hits per Day	91	91	11	1.96440677966102	207.573692551506	31.0980555394189	19.4989210772489	12.6503756922374	23.2028865491541	38.8086686030349	205.609285771845	848.011382923905	29.1206350020721	2.97389958020176	14.2455037795859	2.26062957332744	2.55685236699385	5.69282045283803	77.4115438483086	111.431658835665	159.502675693585
Is NOT Multivariate	Number of Citations per Day	91	9	11	0	0.00333393404216976	9.73369127946962E-05	0.000177559643119995	0	0	0	0.00333393404216976	2.28534657614672E-07	0.000478052986199932	5.84152514012327	35.1441118589457	0	0	0	0.00019408138192105	0.00289312036667431	0.00311352720442204
Is Univariate	Number of Web Hits	27	27	0	1531	523916	89049.2222222222	58380.683127572	44180.5	55411	111255.5	522385	9877501742.71795	99385.6214083202	3.46191074444265	14.5966144666906	1891.23	2251.46	6475.5	191207.7	442366.48	483141.24
Is Univariate	Number of Citations	27	2	0	0	5	0.185185185185185	0.356652949245542	0	0	0	5	0.925925925925924	0.962250448649375	5.19615242270664	27.0000000000001	0	0	0	0	3.7	4.35
Is Univariate	Number of Web Hits per Day	26	26	1	4.2409972299169	207.573692551506	50.8545878809314	37.2273444940921	17.0614572840853	31.1440015568176	55.6094325028177	203.332695321589	3069.58988482896	55.4038796911278	1.97784839892044	3.17189183271122	4.44650692799421	4.65201662607152	6.61319261396903	181.860477178423	201.145518376285	204.359605463895
Is Univariate	Number of Citations per Day	26	1	1	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0
Is NOT Univariate	Number of Web Hits	508	506	0	498	3659898	134765.013779528	118127.776466303	35327.5	71572	136890.5	3659400	66416533307.4179	257714.053375864	7.43289093460976	79.5337449167861	1085.995	1514.63	4174.15	432240.85	1355378.33	1447331.145
Is NOT Univariate	Number of Citations	508	39	0	0	100	3.49212598425197	5.66777233554457	0	0	0	100	119.662659771079	10.9390429092805	4.6195781725872	26.2539434296612	0	0	0	24.65	52.93	56.395
Is NOT Univariate	Number of Web Hits per Day	483	483	25	1.02892561983471	413.954673335417	46.0136499711953	34.2193238534065	15.5150618872841	28.6781651376147	51.6013747085458	412.925747715583	3106.01793223518	55.731660052749	3.3296241199886	13.6706697164939	2.10938869257951	2.61773079588198	6.72701531341066	147.968938362941	302.303107997925	352.014553921415
Is NOT Univariate	Number of Citations per Day	483	94	25	0	0.00845522955948254	0.000304224041083366	0.000500113956831615	0	0	0	0.00845522955948254	9.17043606402667E-07	0.000957623937880976	4.53722790954303	24.9387086736324	0	0	0	0.00209745099229088	0.00444757642066888	0.00536666518862037
Is Text	Number of Web Hits	63	63	0	1159	328736	68559.746031746	45725.1216931217	22154	55001	85128	327577	4528007653.54736	67290.4722345397	2.10105668688422	5.30170785601008	1269.05	1379.1	2254.2	195878.4	322025.12	325380.56
Is Text	Number of Citations	63	3	0	0	9	0.174603174603175	0.332577475434618	0	0	0	9	1.30773169482847	1.14356097118976	7.66570765430714	59.8894205406611	0	0	0	0	4.04	6.52
Is Text	Number of Web Hits per Day	62	62	1	1.96440677966102	207.089834515366	37.2563425344624	24.7831252311447	13.1522024526694	25.8350659191781	51.464916254082	205.125427735705	1211.40761688515	34.8052814510262	2.3857273826411	8.42066279579587	2.28875177747077	2.61309677528052	7.65308864424546	106.327174829553	148.050915289319	177.570374902343
Is Text	Number of Citations per Day	62	3	1	0	0.00106471075357861	1.91728820981701E-05	3.71088040609744E-05	0	0	0	0.00106471075357861	1.84622261280322E-08	0.000135875774617966	7.72290770832212	60.268171087217	0	0	0	0	0.0004908820351655	0.000777796394372055
Is NOT Text	Number of Web Hits	472	470	0	498	3659898	140986.63559322	123336.025423729	38711	75227	141051.25	3659400	70936902451.9986	266339.825133228	7.18932565612017	74.274430048694	1061.995	1763.17	4323.55	479198.5	1358684.51	1476806.685
Is NOT Text	Number of Citations	472	39	0	0	100	3.74576271186441	5.99928181557019	0	0	0	100	127.778113642088	11.3038981613463	4.44222261021762	24.2336418753439	0	0	0	26	53	56.935
