Name	Data Set Characteristics	Attribute Characteristics	Associated Tasks	Number of Instances	Number of Attributes	Missing Values	Area	Date Donated	Days Available	Number of Web Hits	Number of Citations	Number of Web Hits per Day	Number of Citations per Day
BitcoinHeistRansomwareAddressDataset	Multivariate, Time-Series	Integer, Real	Classification, Clustering	2916697	10		Computer	2020-06-17	153	15092	0	98.640522875817	0.0
Facebook Large Page-Page Network	Multivariate		Classification	22470	4714		Social	2020-07-22	118	21181	0	179.5	0.0
Amphibians	Multivariate	Integer, Real	Classification	189	23		Life	2020-07-17	123	17161	0	139.52032520325204	0.0
Early stage diabetes risk prediction dataset.	Multivariate		Classification	520	17	Yes	Computer	2020-07-12	128	25700	0	200.78125	0.0
Turkish Spam V01	Text		Classification	826	2		Social	2019-04-07	590	1159	0	1.964406779661017	0.0
Stock keeping units	Multivariate	Integer, Real	Clustering	2279	9	Yes	Business	2019-04-10	587	2618	0	4.459965928449744	0.0
Demand Forecasting for a store	Multivariate	Integer	Regression	28764	8			2019-05-14	553	6030	0	10.904159132007234	0.0
Detect Malware Types	Multivariate, Time-Series, Text		Classification	7107	280		Computer	2019-06-03	533	4074	0	7.643527204502814	0.0
Wave Energy Converters	Multivariate	Real	Regression	288000	49	Yes	Computer	2019-06-30	506	20858	0	41.22134387351779	0.0
Youtube cookery channels viewers comments in Hinglish	Multivariate, Text		Classification	9800	3		Computer	2019-07-03	503	1523	0	3.0278330019880717	0.0
Pedestrian in Traffic Dataset	Multivariate, Sequential, Time-Series	Real	Classification, Regression, Causal-Discovery	4760	14	Yes	Computer	2019-07-04	502	4635	0	9.233067729083665	0.0
Cervical Cancer Behavior Risk	Multivariate, Univariate	Integer	Classification, Clustering	72	19		Life	2019-07-17	489	4302	0	8.797546012269938	0.0
Sattriya_Dance_Single_Hand_Gestures Dataset	Multivariate		Classification	1450			Computer	2019-07-22	484	498	0	1.0289256198347108	0.0
Divorce Predictors data set	Multivariate, Univariate	Integer	Classification	170	54		Life	2019-07-24	482	87657	0	181.8609958506224	0.0
3W dataset	Multivariate, Time-Series	Integer, Real	Classification, Clustering	1984	8	Yes	Computer	2019-08-15	460	6820	0	14.826086956521738	0.0
Malware static and dynamic features VxHeaven and Virus Total	Multivariate	Integer, Real	Classification	2955	1087		Computer	2019-01-31	656	1171	0	1.7850609756097562	0.0
