Name	Link
Solar Flare	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Solar+Flare
Soybean (Large)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Soybean+%28Large%29
Soybean (Small)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Soybean+%28Small%29
Spambase	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Spambase
SPECT Heart	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/SPECT+Heart
SPECTF Heart	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/SPECTF+Heart
Sponge	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Sponge
Statlog (Australian Credit Approval)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Statlog+%28Australian+Credit+Approval%29
Statlog (German Credit Data)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Statlog+%28German+Credit+Data%29
Statlog (Heart)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Statlog+%28Heart%29
Statlog (Image Segmentation)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Statlog+%28Image+Segmentation%29
Statlog (Landsat Satellite)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Statlog+%28Landsat+Satellite%29
Statlog (Shuttle)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Statlog+%28Shuttle%29
Statlog (Vehicle Silhouettes)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Statlog+%28Vehicle+Silhouettes%29
Statlog Project	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Statlog+Project
Student Loan Relational	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Student+Loan+Relational
Synthetic Control Chart Time Series	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Synthetic+Control+Chart+Time+Series
Syskill and Webert Web Page Ratings	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Syskill+and+Webert+Web+Page+Ratings
Teaching Assistant Evaluation	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Teaching+Assistant+Evaluation
Thyroid Disease	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Thyroid+Disease
Tic-Tac-Toe Endgame	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Tic-Tac-Toe+Endgame
Trains	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Trains
Twenty Newsgroups	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Twenty+Newsgroups
UJI Pen Characters	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/UJI+Pen+Characters
Undocumented	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Undocumented
University	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/University
UNIX User Data	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/UNIX+User+Data
US Census Data (1990)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/US+Census+Data+%281990%29
Volcanoes on Venus - JARtool experiment	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Volcanoes+on+Venus+-+JARtool+experiment
Water Treatment Plant	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Water+Treatment+Plant
Waveform Database Generator (Version 1)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Waveform+Database+Generator+%28Version+1%29
Waveform Database Generator (Version 2)	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Waveform+Database+Generator+%28Version+2%29
Wine	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Wine
Yeast	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Yeast
Zoo	https://web.archive.org/web/20071229225652/http://archive.ics.uci.edu/ml/datasets/Zoo
